source;target;value
Málaga;1;1.056
Málaga;2;387
Málaga;3;4.744
Málaga;4;3.455
Málaga;5;176
Málaga;6;1.011
Málaga;7;6.032
Málaga;8;40.935
Málaga;9;347
Málaga;10;433
Málaga;11;17.222
Málaga;12;1.735
Málaga;13;763
Málaga;14;5.119
Málaga;15;623
Málaga;16;157
Málaga;17;7.957
Málaga;18;9.113
Málaga;19;589
Málaga;20;758
Málaga;21;1.355
Málaga;22;616
Málaga;23;1.842
Málaga;24;398
Málaga;25;1.813
Málaga;26;424
Málaga;27;148
Málaga;28;23.847
Málaga;29;1.068.824
Málaga;30;2.233
Málaga;31;1.161
Málaga;32;198
Málaga;33;1.777
Málaga;34;115
Málaga;35;2.925
Málaga;36;592
Málaga;37;321
Málaga;38;2.156
Málaga;39;912
Málaga;40;165
Málaga;41;13.515
Málaga;42;98
Málaga;43;3.694
Málaga;44;189
Málaga;45;1.056
Málaga;46;5.839
Málaga;47;508
Málaga;48;4.619
Málaga;49;132
Málaga;50;1.561
Málaga;51;2.081
Málaga;52;2.229
;;
;;1.249.955
