Provincia (denominación);Provincia;Tasa (población nacida y que reside/población nacida)
Soria;42;0,47
Cuenca;16;0,48
Ávila;5;0,48
Teruel;44;0,49
Zamora;49;0,51
Segovia;40;0,53
Palencia;34;0,53
Melilla;52;0,55
Cáceres;10;0,56
Guadalajara;19;0,57
Salamanca;37;0,60
Jaén;23;0,60
Burgos;9;0,61
Ciudad Real;13;0,62
Ceuta;51;0,63
León;24;0,64
Badajoz;6;0,64
Albacete;2;0,65
Toledo;45;0,67
Ourense;32;0,67
Córdoba;14;0,67
Lugo;27;0,67
Granada;18;0,68
Huesca;22;0,68
Valladolid;47;0,73
Lleida;25;0,75
Rioja, La;26;0,76
Almería;4;0,78
Araba/Álava;1;0,79
Bizkaia;48;0,80
Huelva;21;0,81
Gipuzkoa;20;0,81
Cádiz;11;0,82
Zaragoza;50;0,82
Cantabria;39;0,82
Tarragona;43;0,84
Navarra;31;0,84
Sevilla;41;0,84
Asturias;33;0,84
Madrid;28;0,85
Málaga;29;0,86
Coruña, A;15;0,86
Girona;17;0,86
Murcia;30;0,86
Pontevedra;36;0,86
Barcelona;8;0,87
Castellón/Castelló;12;0,87
Alicante/Alacant;3;0,90
Valencia/València;46;0,90
Balears, Illes;7;0,92
Palmas, Las;35;0,94
Santa Cruz de Tenerife;38;0,95
